SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHARTER_IND,DISTRICT_NAME,SCHOOL_NAME,GROUP_BY,GROUP_BY_VALUE,REMOVAL_TYPE_DESCRIPTION,TFS_ENROLLMENT_COUNT,REMOVAL_COUNT
2018-19,School District,10,Clark,7,,[All],No,Abbotsford,[Districtwide],All Students,All Students,Out of School Suspension,764,15
2018-19,School District,5,Adams,14,,[All],No,Adams-Friendship Area,[Districtwide],All Students,All Students,Out of School Suspension,1494,208
2018-19,School District,2,Green,63,,[All],No,Albany,[Districtwide],All Students,All Students,Out of School Suspension,339,14
2018-19,School District,7,Kewaunee,70,,[All],No,Algoma,[Districtwide],All Students,All Students,Out of School Suspension,706,2
2018-19,School District,4,Buffalo,84,,[All],No,Alma,[Districtwide],All Students,All Students,,246,0
2018-19,School District,4,Jackson,91,,[All],No,Alma Center,[Districtwide],All Students,All Students,Expulsion without Services Offered,607,4
2018-19,School District,4,Jackson,91,,[All],No,Alma Center,[Districtwide],All Students,All Students,Out of School Suspension,607,31
2018-19,School District,5,Portage,105,,[All],No,Almond-Bancroft,[Districtwide],All Students,All Students,Out of School Suspension,398,11
2018-19,School District,10,Eau Claire,112,,[All],No,Altoona,[Districtwide],All Students,All Students,Out of School Suspension,1599,78
2018-19,School District,11,Polk,119,,[All],No,Amery,[Districtwide],All Students,All Students,Out of School Suspension,1554,96
2018-19,School District,9,Langlade,140,,[All],No,Antigo Unified,[Districtwide],All Students,All Students,Expulsion with Services Offered,2262,1
2018-19,School District,9,Langlade,140,,[All],No,Antigo Unified,[Districtwide],All Students,All Students,Out of School Suspension,2262,182
2018-19,School District,6,Outagamie,147,,[All],No,Appleton Area,[Districtwide],All Students,All Students,Out of School Suspension,16291,670
2018-19,School District,4,Trempealeau,154,,[All],No,Arcadia,[Districtwide],All Students,All Students,Out of School Suspension,1302,20
2018-19,School District,3,Lafayette,161,,[All],No,Argyle,[Districtwide],All Students,All Students,Out of School Suspension,292,5
2018-19,School District,1,Waukesha,2450,,[All],No,Arrowhead UHS,[Districtwide],All Students,All Students,Out of School Suspension,2139,46
2018-19,School District,12,Ashland,170,,[All],No,Ashland,[Districtwide],All Students,All Students,Out of School Suspension,2093,194
2018-19,School District,7,Brown,182,,[All],No,Ashwaubenon,[Districtwide],All Students,All Students,Out of School Suspension,3313,142
2018-19,School District,9,Marathon,196,,[All],No,Athens,[Districtwide],All Students,All Students,Out of School Suspension,415,2
2018-19,School District,5,Wood,203,,[All],No,Auburndale,[Districtwide],All Students,All Students,Out of School Suspension,818,27
2018-19,School District,10,Eau Claire,217,,[All],No,Augusta,[Districtwide],All Students,All Students,Expulsion with Services Offered,624,1
2018-19,School District,10,Eau Claire,217,,[All],No,Augusta,[Districtwide],All Students,All Students,Expulsion without Services Offered,624,2
2018-19,School District,10,Eau Claire,217,,[All],No,Augusta,[Districtwide],All Students,All Students,Out of School Suspension,624,53
2018-19,School District,11,Saint Croix,231,,[All],No,Baldwin-Woodville Area,[Districtwide],All Students,All Students,Out of School Suspension,1745,11
2018-19,School District,4,La Crosse,245,,[All],No,Bangor,[Districtwide],All Students,All Students,Out of School Suspension,588,10
2018-19,School District,5,Sauk,280,,[All],No,Baraboo,[Districtwide],All Students,All Students,Out of School Suspension,2972,284
2018-19,School District,3,Iowa,287,,[All],No,Barneveld,[Districtwide],All Students,All Students,Out of School Suspension,438,2
2018-19,School District,11,Barron,308,,[All],No,Barron Area,[Districtwide],All Students,All Students,Out of School Suspension,1241,46
2018-19,School District,12,Bayfield,315,,[All],No,Bayfield,[Districtwide],All Students,All Students,Expulsion without Services Offered,365,1
2018-19,School District,12,Bayfield,315,,[All],No,Bayfield,[Districtwide],All Students,All Students,Out of School Suspension,365,19
2018-19,School District,6,Dodge,336,,[All],No,Beaver Dam Unified,[Districtwide],All Students,All Students,Expulsion with Services Offered,3508,2
2018-19,School District,6,Dodge,336,,[All],No,Beaver Dam Unified,[Districtwide],All Students,All Students,Expulsion without Services Offered,3508,5
2018-19,School District,6,Dodge,336,,[All],No,Beaver Dam Unified,[Districtwide],All Students,All Students,Out of School Suspension,3508,281
2018-19,School District,8,Marinette,4263,,[All],No,Beecher-Dunbar-Pembine,[Districtwide],All Students,All Students,Out of School Suspension,233,43
2018-19,School District,2,Dane,350,,[All],No,Belleville,[Districtwide],All Students,All Students,Out of School Suspension,887,11
2018-19,School District,3,Lafayette,364,,[All],No,Belmont Community,[Districtwide],All Students,All Students,Expulsion without Services Offered,384,2
2018-19,School District,3,Lafayette,364,,[All],No,Belmont Community,[Districtwide],All Students,All Students,Out of School Suspension,384,3
2018-19,School District,2,Rock,413,,[All],No,Beloit,[Districtwide],All Students,All Students,Expulsion with Services Offered,6474,25
2018-19,School District,2,Rock,413,,[All],No,Beloit,[Districtwide],All Students,All Students,Expulsion without Services Offered,6474,5
2018-19,School District,2,Rock,413,,[All],No,Beloit,[Districtwide],All Students,All Students,Out of School Suspension,6474,2163
2018-19,School District,2,Rock,422,,[All],No,Beloit Turner,[Districtwide],All Students,All Students,Expulsion with Services Offered,1566,1
2018-19,School District,2,Rock,422,,[All],No,Beloit Turner,[Districtwide],All Students,All Students,Out of School Suspension,1566,65
2018-19,School District,3,Lafayette,427,,[All],No,Benton,[Districtwide],All Students,All Students,Out of School Suspension,200,3
2018-19,School District,6,Green Lake,434,,[All],No,Berlin Area,[Districtwide],All Students,All Students,Expulsion with Services Offered,1644,2
2018-19,School District,6,Green Lake,434,,[All],No,Berlin Area,[Districtwide],All Students,All Students,Out of School Suspension,1644,128
2018-19,School District,2,Walworth,6013,,[All],No,Big Foot UHS,[Districtwide],All Students,All Students,Expulsion with Services Offered,489,1
2018-19,School District,2,Walworth,6013,,[All],No,Big Foot UHS,[Districtwide],All Students,All Students,Out of School Suspension,489,16
2018-19,School District,11,Washburn,441,,[All],No,Birchwood,[Districtwide],All Students,All Students,Expulsion with Services Offered,292,1
2018-19,School District,11,Washburn,441,,[All],No,Birchwood,[Districtwide],All Students,All Students,Out of School Suspension,292,5
2018-19,School District,3,Lafayette,2240,,[All],No,Black Hawk,[Districtwide],All Students,All Students,Out of School Suspension,383,1
2018-19,School District,4,Jackson,476,,[All],No,Black River Falls,[Districtwide],All Students,All Students,Out of School Suspension,1742,20
2018-19,School District,4,Trempealeau,485,,[All],No,Blair-Taylor,[Districtwide],All Students,All Students,Out of School Suspension,614,8
2018-19,School District,10,Chippewa,497,,[All],No,Bloomer,[Districtwide],All Students,All Students,Out of School Suspension,1279,50
2018-19,School District,8,Shawano,602,,[All],No,Bonduel,[Districtwide],All Students,All Students,Out of School Suspension,737,16
2018-19,School District,3,Grant,609,,[All],No,Boscobel Area,[Districtwide],All Students,All Students,Out of School Suspension,796,18
2018-19,School District,8,Shawano,623,,[All],No,Bowler,[Districtwide],All Students,All Students,Out of School Suspension,331,11
2018-19,School District,11,Dunn,637,,[All],No,Boyceville Community,[Districtwide],All Students,All Students,Out of School Suspension,712,3
2018-19,School District,2,Kenosha,657,,[All],No,Brighton #1,[Districtwide],All Students,All Students,Out of School Suspension,226,16
2018-19,School District,7,Calumet,658,,[All],No,Brillion,[Districtwide],All Students,All Students,Out of School Suspension,978,5
2018-19,School District,2,Kenosha,665,,[All],No,Bristol #1,[Districtwide],All Students,All Students,Out of School Suspension,851,1
2018-19,School District,2,Green,700,,[All],No,Brodhead,[Districtwide],All Students,All Students,Out of School Suspension,1018,23
2018-19,School District,1,Milwaukee,721,,[All],No,Brown Deer,[Districtwide],All Students,All Students,Out of School Suspension,1521,240
2018-19,School District,10,Rusk,735,,[All],No,Bruce,[Districtwide],All Students,All Students,Out of School Suspension,441,19
2018-19,School District,2,Racine,777,,[All],No,Burlington Area,[Districtwide],All Students,All Students,Expulsion with Services Offered,3145,1
2018-19,School District,2,Racine,777,,[All],No,Burlington Area,[Districtwide],All Students,All Students,Out of School Suspension,3145,80
2018-19,School District,12,Ashland,840,,[All],No,Butternut,[Districtwide],All Students,All Students,Out of School Suspension,206,6
2018-19,School District,10,Chippewa,870,,[All],No,Cadott Community,[Districtwide],All Students,All Students,Expulsion without Services Offered,830,2
2018-19,School District,10,Chippewa,870,,[All],No,Cadott Community,[Districtwide],All Students,All Students,Out of School Suspension,830,110
2018-19,School District,5,Columbia,882,,[All],No,Cambria-Friesland,[Districtwide],All Students,All Students,Out of School Suspension,371,13
2018-19,School District,2,Dane,896,,[All],No,Cambridge,[Districtwide],All Students,All Students,Out of School Suspension,908,13
2018-19,School District,11,Barron,903,,[All],No,Cameron,[Districtwide],All Students,All Students,Out of School Suspension,1149,8
2018-19,School District,6,Fond du Lac,910,,[All],No,Campbellsport,[Districtwide],All Students,All Students,Expulsion without Services Offered,1335,3
2018-19,School District,6,Fond du Lac,910,,[All],No,Campbellsport,[Districtwide],All Students,All Students,Out of School Suspension,1335,40
2018-19,School District,4,Monroe,980,,[All],No,Cashton,[Districtwide],All Students,All Students,Out of School Suspension,610,8
2018-19,School District,3,Grant,994,,[All],No,Cassville,[Districtwide],All Students,All Students,,195,0
2018-19,School District,7,Sheboygan,1029,,[All],No,Cedar Grove-Belgium Area,[Districtwide],All Students,All Students,Out of School Suspension,986,4
2018-19,School District,1,Ozaukee,1015,,[All],No,Cedarburg,[Districtwide],All Students,All Students,Out of School Suspension,3122,38
2018-19,School District,2,Kenosha,5054,,[All],No,Central/Westosha UHS,[Districtwide],All Students,All Students,Out of School Suspension,1126,137
2018-19,School District,12,Price,1071,,[All],No,Chequamegon,[Districtwide],All Students,All Students,Expulsion without Services Offered,768,1
2018-19,School District,12,Price,1071,,[All],No,Chequamegon,[Districtwide],All Students,All Students,Out of School Suspension,768,53
2018-19,School District,11,Barron,1080,,[All],No,Chetek-Weyerhaeuser Area,[Districtwide],All Students,All Students,Expulsion without Services Offered,989,2
2018-19,School District,11,Barron,1080,,[All],No,Chetek-Weyerhaeuser Area,[Districtwide],All Students,All Students,Out of School Suspension,989,32
2018-19,School District,7,Calumet,1085,,[All],No,Chilton,[Districtwide],All Students,All Students,Out of School Suspension,1114,26
2018-19,School District,10,Chippewa,1092,,[All],No,Chippewa Falls Area Unified,[Districtwide],All Students,All Students,Expulsion with Services Offered,5052,3
2018-19,School District,10,Chippewa,1092,,[All],No,Chippewa Falls Area Unified,[Districtwide],All Students,All Students,Expulsion without Services Offered,5052,2
2018-19,School District,10,Chippewa,1092,,[All],No,Chippewa Falls Area Unified,[Districtwide],All Students,All Students,Out of School Suspension,5052,378
2018-19,School District,11,Polk,1120,,[All],No,Clayton,[Districtwide],All Students,All Students,Out of School Suspension,344,6
2018-19,School District,11,Polk,1127,,[All],No,Clear Lake,[Districtwide],All Students,All Students,Out of School Suspension,597,8
2018-19,School District,2,Rock,1134,,[All],No,Clinton Community,[Districtwide],All Students,All Students,Expulsion without Services Offered,1140,3
2018-19,School District,2,Rock,1134,,[All],No,Clinton Community,[Districtwide],All Students,All Students,Out of School Suspension,1140,31
2018-19,School District,8,Waupaca,1141,,[All],No,Clintonville,[Districtwide],All Students,All Students,Expulsion without Services Offered,1253,1
2018-19,School District,8,Waupaca,1141,,[All],No,Clintonville,[Districtwide],All Students,All Students,Out of School Suspension,1253,118
2018-19,School District,4,Buffalo,1155,,[All],No,Cochrane-Fountain City,[Districtwide],All Students,All Students,Out of School Suspension,620,13
2018-19,School District,10,Clark,1162,,[All],No,Colby,[Districtwide],All Students,All Students,Out of School Suspension,912,20
2018-19,School District,8,Marinette,1169,,[All],No,Coleman,[Districtwide],All Students,All Students,Out of School Suspension,729,7
2018-19,School District,11,Dunn,1176,,[All],No,Colfax,[Districtwide],All Students,All Students,Out of School Suspension,800,46
2018-19,School District,5,Columbia,1183,,[All],No,Columbus,[Districtwide],All Students,All Students,Out of School Suspension,1307,66
2018-19,School District,10,Chippewa,1204,,[All],No,Cornell,[Districtwide],All Students,All Students,Out of School Suspension,406,27
2018-19,School District,8,Forest,1218,,[All],No,Crandon,[Districtwide],All Students,All Students,Out of School Suspension,857,145
2018-19,School District,8,Marinette,1232,,[All],No,Crivitz,[Districtwide],All Students,All Students,Out of School Suspension,791,25
2018-19,School District,3,Grant,1246,,[All],No,Cuba City,[Districtwide],All Students,All Students,Out of School Suspension,679,9
2018-19,School District,1,Milwaukee,1253,,[All],No,Cudahy,[Districtwide],All Students,All Students,Expulsion without Services Offered,2326,2
2018-19,School District,1,Milwaukee,1253,,[All],No,Cudahy,[Districtwide],All Students,All Students,Out of School Suspension,2326,259
2018-19,School District,11,Barron,1260,,[All],No,Cumberland,[Districtwide],All Students,All Students,Expulsion with Services Offered,998,3
2018-19,School District,11,Barron,1260,,[All],No,Cumberland,[Districtwide],All Students,All Students,Out of School Suspension,998,7
2018-19,School District,9,Marathon,4970,,[All],No,D C Everest Area,[Districtwide],All Students,All Students,Expulsion with Services Offered,6004,1
2018-19,School District,9,Marathon,4970,,[All],No,D C Everest Area,[Districtwide],All Students,All Students,Out of School Suspension,6004,375
2018-19,School District,3,Lafayette,1295,,[All],No,Darlington Community,[Districtwide],All Students,All Students,Out of School Suspension,839,1
2018-19,School District,2,Dane,1316,,[All],No,De Forest Area,[Districtwide],All Students,All Students,Out of School Suspension,3828,151
2018-19,School District,7,Brown,1414,,[All],No,De Pere,[Districtwide],All Students,All Students,Expulsion with Services Offered,4518,1
2018-19,School District,7,Brown,1414,,[All],No,De Pere,[Districtwide],All Students,All Students,Out of School Suspension,4518,162
2018-19,School District,4,Vernon,1421,,[All],No,De Soto Area,[Districtwide],All Students,All Students,Out of School Suspension,496,17
2018-19,School District,2,Dane,1309,,[All],No,Deerfield Community,[Districtwide],All Students,All Students,Expulsion with Services Offered,757,1
2018-19,School District,2,Dane,1309,,[All],No,Deerfield Community,[Districtwide],All Students,All Students,Expulsion without Services Offered,757,2
2018-19,School District,2,Dane,1309,,[All],No,Deerfield Community,[Districtwide],All Students,All Students,Out of School Suspension,757,20
2018-19,School District,2,Walworth,1380,,[All],No,Delavan-Darien,[Districtwide],All Students,All Students,Expulsion with Services Offered,2020,6
2018-19,School District,2,Walworth,1380,,[All],No,Delavan-Darien,[Districtwide],All Students,All Students,Expulsion without Services Offered,2020,9
2018-19,School District,2,Walworth,1380,,[All],No,Delavan-Darien,[Districtwide],All Students,All Students,Out of School Suspension,2020,255
2018-19,School District,7,Brown,1407,,[All],No,Denmark,[Districtwide],All Students,All Students,Out of School Suspension,1560,38
2018-19,School District,6,Dodge,2744,,[All],No,Dodgeland,[Districtwide],All Students,All Students,Out of School Suspension,787,34
2018-19,School District,3,Iowa,1428,,[All],No,Dodgeville,[Districtwide],All Students,All Students,Out of School Suspension,1227,98
2018-19,School District,2,Racine,1449,,[All],No,Dover #1,[Districtwide],All Students,All Students,,92,0
2018-19,School District,12,Bayfield,1491,,[All],No,Drummond Area,[Districtwide],All Students,All Students,Out of School Suspension,353,8
2018-19,School District,11,Pepin,1499,,[All],No,Durand-Arkansaw,[Districtwide],All Students,All Students,Expulsion with Services Offered,959,1
2018-19,School District,11,Pepin,1499,,[All],No,Durand-Arkansaw,[Districtwide],All Students,All Students,Expulsion without Services Offered,959,1
2018-19,School District,11,Pepin,1499,,[All],No,Durand-Arkansaw,[Districtwide],All Students,All Students,Out of School Suspension,959,12
2018-19,School District,2,Walworth,1540,,[All],No,East Troy Community,[Districtwide],All Students,All Students,Out of School Suspension,1646,56
2018-19,School District,10,Eau Claire,1554,,[All],No,Eau Claire Area,[Districtwide],All Students,All Students,Out of School Suspension,11355,428
2018-19,School District,9,Marathon,1561,,[All],No,Edgar,[Districtwide],All Students,All Students,Out of School Suspension,597,1
2018-19,School District,2,Rock,1568,,[All],No,Edgerton,[Districtwide],All Students,All Students,Expulsion with Services Offered,1879,2
2018-19,School District,2,Rock,1568,,[All],No,Edgerton,[Districtwide],All Students,All Students,Out of School Suspension,1879,94
2018-19,School District,9,Langlade,1582,,[All],No,Elcho,[Districtwide],All Students,All Students,Out of School Suspension,273,30
2018-19,School District,10,Trempealeau,1600,,[All],No,Eleva-Strum,[Districtwide],All Students,All Students,,632,0
2018-19,School District,11,Dunn,1645,,[All],No,Elk Mound Area,[Districtwide],All Students,All Students,Out of School Suspension,1202,58
2018-19,School District,7,Sheboygan,1631,,[All],No,Elkhart Lake-Glenbeulah,[Districtwide],All Students,All Students,Out of School Suspension,439,1
2018-19,School District,2,Walworth,1638,,[All],No,Elkhorn Area,[Districtwide],All Students,All Students,Out of School Suspension,3469,94
2018-19,School District,11,Pierce,1659,,[All],No,Ellsworth Community,[Districtwide],All Students,All Students,Out of School Suspension,1662,31
2018-19,School District,1,Waukesha,714,,[All],No,Elmbrook,[Districtwide],All Students,All Students,Expulsion without Services Offered,7334,2
2018-19,School District,1,Waukesha,714,,[All],No,Elmbrook,[Districtwide],All Students,All Students,Out of School Suspension,7334,86
2018-19,School District,11,Pierce,1666,,[All],No,Elmwood,[Districtwide],All Students,All Students,,312,0
2018-19,School District,6,Washington,1687,,[All],No,Erin,[Districtwide],All Students,All Students,,421,0
2018-19,School District,2,Rock,1694,,[All],No,Evansville Community,[Districtwide],All Students,All Students,Out of School Suspension,1800,66
2018-19,School District,10,Eau Claire,1729,,[All],No,Fall Creek,[Districtwide],All Students,All Students,Out of School Suspension,852,10
2018-19,School District,5,Columbia,1736,,[All],No,Fall River,[Districtwide],All Students,All Students,Out of School Suspension,453,5
2018-19,School District,3,Grant,1813,,[All],No,Fennimore Community,[Districtwide],All Students,All Students,Out of School Suspension,798,6
2018-19,School District,10,Rusk,5757,,[All],No,Flambeau,[Districtwide],All Students,All Students,Out of School Suspension,578,25
2018-19,School District,8,Florence,1855,,[All],No,Florence County,[Districtwide],All Students,All Students,Out of School Suspension,389,4
2018-19,School District,6,Fond du Lac,1862,,[All],No,Fond du Lac,[Districtwide],All Students,All Students,Expulsion with Services Offered,7100,8
2018-19,School District,6,Fond du Lac,1862,,[All],No,Fond du Lac,[Districtwide],All Students,All Students,Expulsion without Services Offered,7100,2
2018-19,School District,6,Fond du Lac,1862,,[All],No,Fond du Lac,[Districtwide],All Students,All Students,Out of School Suspension,7100,188
2018-19,School District,2,Walworth,1870,,[All],No,Fontana J8,[Districtwide],All Students,All Students,,214,0
2018-19,School District,2,Jefferson,1883,,[All],No,Fort Atkinson,[Districtwide],All Students,All Students,Out of School Suspension,2843,16
2018-19,School District,1,Milwaukee,1890,,[All],No,Fox Point J2,[Districtwide],All Students,All Students,Out of School Suspension,793,8
2018-19,School District,1,Milwaukee,1900,,[All],No,Franklin Public,[Districtwide],All Students,All Students,Out of School Suspension,4599,121
2018-19,School District,11,Polk,1939,,[All],No,Frederic,[Districtwide],All Students,All Students,Expulsion with Services Offered,438,3
2018-19,School District,11,Polk,1939,,[All],No,Frederic,[Districtwide],All Students,All Students,Out of School Suspension,438,40
2018-19,School District,6,Outagamie,1953,,[All],No,Freedom Area,[Districtwide],All Students,All Students,Out of School Suspension,1607,3
2018-19,School District,4,Trempealeau,2009,,[All],No,Galesville-Ettrick-Trempealeau,[Districtwide],All Students,All Students,Out of School Suspension,1397,12
2018-19,School District,2,Walworth,2044,,[All],No,Geneva J4,[Districtwide],All Students,All Students,Out of School Suspension,201,1
2018-19,School District,2,Walworth,2051,,[All],No,Genoa City J2,[Districtwide],All Students,All Students,Out of School Suspension,526,19
2018-19,School District,1,Washington,2058,,[All],No,Germantown,[Districtwide],All Students,All Students,Expulsion without Services Offered,3896,1
2018-19,School District,1,Washington,2058,,[All],No,Germantown,[Districtwide],All Students,All Students,Out of School Suspension,3896,91
2018-19,School District,7,Door,2114,,[All],No,Gibraltar Area,[Districtwide],All Students,All Students,Out of School Suspension,531,7
2018-19,School District,8,Oconto,2128,,[All],No,Gillett,[Districtwide],All Students,All Students,Out of School Suspension,514,40
2018-19,School District,10,Taylor,2135,,[All],No,Gilman,[Districtwide],All Students,All Students,Out of School Suspension,326,4
2018-19,School District,10,Buffalo,2142,,[All],No,Gilmanton,[Districtwide],All Students,All Students,Out of School Suspension,150,4
2018-19,School District,1,Milwaukee,2184,,[All],No,Glendale-River Hills,[Districtwide],All Students,All Students,Out of School Suspension,1065,40
2018-19,School District,11,Saint Croix,2198,,[All],No,Glenwood City,[Districtwide],All Students,All Students,Out of School Suspension,687,10
2018-19,School District,8,Marinette,2212,,[All],No,Goodman-Armstrong Creek,[Districtwide],All Students,All Students,Out of School Suspension,115,5
2018-19,School District,1,Ozaukee,2217,,[All],No,Grafton,[Districtwide],All Students,All Students,Out of School Suspension,2071,64
2018-19,School District,10,Clark,2226,,[All],No,Granton Area,[Districtwide],All Students,All Students,Out of School Suspension,233,6
2018-19,School District,11,Burnett,2233,,[All],No,Grantsburg,[Districtwide],All Students,All Students,Out of School Suspension,1463,29
2018-19,School District,7,Brown,2289,,[All],No,Green Bay Area Public,[Districtwide],All Students,All Students,Expulsion with Services Offered,20391,16
2018-19,School District,7,Brown,2289,,[All],No,Green Bay Area Public,[Districtwide],All Students,All Students,Out of School Suspension,20391,2833
2018-19,School District,6,Green Lake,2310,,[All],No,Green Lake,[Districtwide],All Students,All Students,Out of School Suspension,303,1
2018-19,School District,1,Milwaukee,2296,,[All],No,Greendale,[Districtwide],All Students,All Students,Out of School Suspension,2698,99
2018-19,School District,1,Milwaukee,2303,,[All],No,Greenfield,[Districtwide],All Students,All Students,Expulsion with Services Offered,3527,1
2018-19,School District,1,Milwaukee,2303,,[All],No,Greenfield,[Districtwide],All Students,All Students,Expulsion without Services Offered,3527,1
2018-19,School District,1,Milwaukee,2303,,[All],No,Greenfield,[Districtwide],All Students,All Students,Out of School Suspension,3527,237
2018-19,School District,10,Clark,2394,,[All],No,Greenwood,[Districtwide],All Students,All Students,Out of School Suspension,358,3
2018-19,School District,8,Shawano,2415,,[All],No,Gresham,[Districtwide],All Students,All Students,Out of School Suspension,292,29
2018-19,School District,1,Waukesha,2420,,[All],No,Hamilton,[Districtwide],All Students,All Students,Out of School Suspension,4859,94
2018-19,School District,6,Washington,2443,,[All],No,Hartford J1,[Districtwide],All Students,All Students,Out of School Suspension,1706,95
2018-19,School District,6,Washington,2436,,[All],No,Hartford UHS,[Districtwide],All Students,All Students,Expulsion with Services Offered,1344,1
2018-19,School District,6,Washington,2436,,[All],No,Hartford UHS,[Districtwide],All Students,All Students,Out of School Suspension,1344,64
2018-19,School District,1,Waukesha,2460,,[All],No,Hartland-Lakeside J3,[Districtwide],All Students,All Students,Out of School Suspension,1187,10
2018-19,School District,12,Sawyer,2478,,[All],No,Hayward Community,[Districtwide],All Students,All Students,Out of School Suspension,2063,133
